北京 beijing
天津 tianjin
上海 shanghai
重庆 chongqing
河北 hebei
山西 shanxi
内蒙古 neimenggu
辽宁 liaoning
吉林 jilin
黑龙江 heilongjiang
江苏 jiangsu
浙江 zhejiang
安徽 anhui
福建 fujian
江西 jiangxi
山东 shandong
河南 henan
湖北 hubei
湖南 hunan
广东 guangdong
广西 guangxi
海南 hainan
四川 sichuan
贵州 guizhou
云南 yunnan
西藏 xizang
陕西 shanxi
甘肃 gansu
青海 qinghai
宁夏 ningxia
新疆 xinjiang
台湾 taiwan
香港 xianggang
澳门 aomen
海外 haiwai
东城 dongcheng
西城 xicheng
朝阳 chaoyang
丰台 fengtai
石景山 shijingshan
海淀 haidian
门头沟 mentougou
房山 fangshan
通州 tongzhou
顺义 shunyi
昌平 changping
大兴 daxing
怀柔 huairou
平谷 pinggu
密云 miyun
延庆 yanqing
和平 heping
河东 hedong
河西 hexi
南开 nankai
河北 hebei
红桥 hongqiao
东丽 dongli
西青 xiqing
津南 jinnan
北辰 beichen
武清 wuqing
宝坻 baochi
滨海新区 binhaixinqu
宁河 ninghe
蓟州 jizhou
静海 jinghai
黄浦 huangpu
徐汇 xuhui
长宁 changning
静安 jingan
普陀 putuo
虹口 hongkou
杨浦 yangpu
闵行 minxing
宝山 baoshan
嘉定 jiading
浦东新区 pudongxinqu
金山 jinshan
松江 songjiang
青浦 qingpu
奉贤 fengxian
崇明 chongming
万州 wanzhou
涪陵 fuling
渝中 yuzhong
大渡口 dadukou
江北 jiangbei
沙坪坝 shapingba
九龙坡 jiulongpo
南岸 nanan
北碚 beibei
綦江 qijiang
大足 dazu
渝北 yubei
巴南 banan
黔江 qianjiang
长寿 changshou
江津 jiangjin
合川 hechuan
永川 yongchuan
南川 nanchuan
潼南 tongnan
铜梁 tongliang
荣昌 rongchang
璧山 bishan
梁平 liangping
城口 chengkou
丰都 fengdu
垫江 dianjiang
武隆 wulong
忠县 zhongxian
开州 kaizhou
云阳 yunyang
奉节 fengjie
巫山 wushan
巫溪 wuxi
石柱 shizhu
秀山 xiushan
酉阳 youyang
彭水 pengshui
石家庄 shijiazhuang
唐山 tangshan
秦皇岛 qinhuangdao
邯郸 handan
邢台 xingtai
保定 baoding
张家口 zhangjiakou
承德 chengde
沧州 cangzhou
廊坊 langfang
衡水 hengshui
太原 taiyuan
大同 datong
阳泉 yangquan
长治 changzhi
晋城 jincheng
朔州 shuozhou
晋中 jinzhong
运城 yuncheng
忻州 xinzhou
临汾 linfen
吕梁 lvliang
呼和浩特 huhehaote
包头 baotou
乌海 wuhai
赤峰 chifeng
通辽 tongliao
鄂尔多斯 eerduosi
呼伦贝尔 hulunbeier
巴彦淖尔 bayannaoer
乌兰察布 wulanchabu
兴安 xingan
锡林郭勒 xilinguole
阿拉善 alashan
沈阳 shenyang
大连 dalian
鞍山 anshan
抚顺 fushun
本溪 benxi
丹东 dandong
锦州 jinzhou
营口 yingkou
阜新 fuxin
辽阳 liaoyang
盘锦 panjin
铁岭 tieling
朝阳 chaoyang
葫芦岛 huludao
长春 changchun
吉林 jilin
四平 siping
辽源 liaoyuan
通化 tonghua
白山 baishan
松原 songyuan
白城 baicheng
延边 yanbian
哈尔滨 haerbin
齐齐哈尔 qiqihaer
鸡西 jixi
鹤岗 hegang
双鸭山 shuangyashan
大庆 daqing
伊春 yichun
佳木斯 jiamusi
七台河 qitaihe
牡丹江 mudanjiang
黑河 heihe
绥化 suihua
大兴安岭 daxinganling
南京 nanjing
无锡 wuxi
徐州 xuzhou
常州 changzhou
苏州 suzhou
南通 nantong
连云港 lianyungang
淮安 huaian
盐城 yancheng
扬州 yangzhou
镇江 zhenjiang
泰州 taizhou
宿迁 suqian
杭州 hangzhou
宁波 ningbo
温州 wenzhou
嘉兴 jiaxing
湖州 huzhou
绍兴 shaoxing
金华 jinhua
衢州 quzhou
舟山 zhoushan
台州 taizhou
丽水 lishui
合肥 hefei
芜湖 wuhu
蚌埠 bengbu
淮南 huainan
马鞍山 maanshan
淮北 huaibei
铜陵 tongling
安庆 anqing
黄山 huangshan
滁州 chuzhou
阜阳 fuyang
宿州 suzhou
六安 liuan
亳州 bozhou
池州 chizhou
宣城 xuancheng
福州 fuzhou
厦门 xiamen
莆田 putian
三明 sanming
泉州 quanzhou
漳州 zhangzhou
南平 nanping
龙岩 longyan
宁德 ningde
南昌 nanchang
景德镇 jingdezhen
萍乡 pingxiang
九江 jiujiang
新余 xinyu
鹰潭 yingtan
赣州 ganzhou
吉安 jian
宜春 yichun
抚州 fuzhou
上饶 shangrao
济南 jinan
青岛 qingdao
淄博 zibo
枣庄 zaozhuang
东营 dongying
烟台 yantai
潍坊 weifang
济宁 jining
泰安 taian
威海 weihai
日照 rizhao
临沂 linyi
德州 dezhou
聊城 liaocheng
滨州 binzhou
菏泽 heze
郑州 zhengzhou
开封 kaifeng
洛阳 luoyang
平顶山 pingdingshan
安阳 anyang
鹤壁 hebi
新乡 xinxiang
焦作 jiaozuo
濮阳 puyang
许昌 xuchuang
漯河 luohe
三门峡 sanmenxia
南阳 nanyang
商丘 shangqiu
信阳 xinyang
周口 zhoukou
驻马店 zhumadian
济源 jiyuan
武汉 wuhan
黄石 huangshi
十堰 shiyan
宜昌 yichang
襄阳 xiangyang
鄂州 ezhou
荆门 jingmen
孝感 xiaogan
荆州 jingzhou
黄冈 huanggang
咸宁 xianning
随州 suizhou
恩施 enshi
仙桃 xiantao
潜江 qianjiang
天门 tianmen
神农架林区 shennongjialinqu
长沙 changsha
株洲 zhuzhou
湘潭 xiangtan
衡阳 hengyang
邵阳 shaoyang
岳阳 yueyang
常德 changde
张家界 zhangjiajie
益阳 yiyang
郴州 chenzhou
永州 yongzhou
怀化 huaihua
娄底 loudi
湘西 xiangxi
广州 guangzhou
韶关 shaoguan
深圳 shenzhen
珠海 zhuhai
汕头 shantou
佛山 foshan
江门 jiangmen
湛江 zhanjiang
茂名 maoming
肇庆 zhaoqing
惠州 huizhou
梅州 meizhou
汕尾 shanwei
河源 heyuan
阳江 yangjiang
清远 qingyuan
东莞 dongguan
中山 zhongshan
潮州 chaozhou
揭阳 jieyang
云浮 yunfu
南宁 nanning
柳州 liuzhou
桂林 guilin
梧州 wuzhou
北海 beihai
防城港 fangchenggang
钦州 qinzhou
贵港 guigang
玉林 yulin
百色 baise
贺州 hezhou
河池 hechi
来宾 laibin
崇左 chongzuo
海口 haikou
三亚 sanya
三沙 sansha
五指山 wuzhishan
琼海 qionghai
儋州 danzhou
文昌 wenchang
万宁 wanning
东方 dongfang
定安 dingan
屯昌 tunchang
澄迈 chengmai
临高 lingao
白沙 baisha
昌江 changjiang
乐东 ledong
陵水 lingshui
保亭 baoting
琼中 qiongzhong
成都 chengdu
自贡 zigong
攀枝花 panzhihua
泸州 luzhou
德阳 deyang
绵阳 mianyang
广元 guangyuan
遂宁 suining
内江 neijiang
乐山 leshan
南充 nanchong
眉山 meishan
宜宾 yibin
广安 guangan
达州 dazhou
雅安 yaan
巴中 bazhong
资阳 ziyang
阿坝 aba
甘孜 ganzi
凉山 liangshan
贵阳 guiyang
六盘水 liupanshui
遵义 zunyi
安顺 anshun
毕节 bijie
铜仁 tongren
黔西南 qianxinan
黔东南 qiandongnan
黔南 qiannan
昆明 kunming
曲靖 qujing
玉溪 yuxi
昭通 zhaotong
丽江 lijiang
普洱 puer
临沧 lincang
楚雄 chuxiong
红河 honghe
文山 wenshan
西双版纳 xishuangbanna
大理 dali
德宏 dehong
怒江 nujiang
迪庆 diqing
保山 baoshan
拉萨 lasa
昌都 changdu
山南 shannan
日喀则 rikaze
那曲 neiqu
阿里 ali
林芝 linzhi
西安 xian
铜川 tongchuan
宝鸡 baoji
咸阳 xianyang
渭南 weinan
延安 yanan
汉中 hanzhong
榆林 yulin
安康 ankang
商洛 shangluo
兰州 lanzhou
嘉峪关 jiayuguan
金昌 jinchang
白银 baiyin
天水 tianshui
武威 wuwei
张掖 zhangye
平凉 pingliang
酒泉 jiuquan
